,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsPropertyPlantAndEquipment,DeferredTaxAssetsTaxCreditCarryforwardsAlternativeMinimumTax,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,DeferredTaxAssetsValuationAllowance,DefinedBenefitPlanBenefitsPaid,DefinedContributionPlanEmployerDiscretionaryContributionAmount,DepreciationDepletionAndAmortization,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationDeductions,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationOtherAdjustments,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestPaidNet,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInContinuingOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLossAvailableToCommonStockholdersBasic,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseCost,OperatingLeaseExpense,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OtherNoncashIncomeTaxExpense,OtherNonoperatingIncome,PrepaidExpenseCurrent,ProceedsFromContributedCapital,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ResearchAndDevelopmentExpense,RetainageDeposit,RetainedEarningsAccumulatedDeficit,Revenues,StockholdersEquity,UnrecognizedTaxBenefits,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,EarningsPerShareBasic,EarningsPerShareDiluted,y
20,114320,38583.0,20363.0,112089593,292377.0,1600000.0,2281,229,,708.0,1548.0,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,265505.0,,,513.0,-0.04,,537793.0,-5003942.0,,,,,,,,,115567.0,-9329.0,,-18439.0,,,,152903,2281,,-1108.0,429501.0,339100.0,-429988.0,-340208.0,-5003942.0,5004042.0,-460193.0,,,,,,,,,661756.0,,1000.0,9302.0,339100.0,,2052.0,4465736.0,,-112371664,0.0,-133347.0,,131448444.0,131448444.0,131448444.0,,,0
21,114320,38583.0,,112089593,305891.0,,2281,229,,708.0,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,242202.0,,,,,0.34,,,0.0,,,,,-6937.0,,,,,,,,,,152903,2281,,,,,,,,,,,,,,,,,,690596.0,,,1251.0,,,2052.0,,,-112371664,0.0,-175886.0,,,,,,,0
22,114320,38583.0,20534.0,112089593,1081051.0,,2281,229,,708.0,906.0,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,,,,171.0,-0.01,,99164.0,-1529741.0,,,-5655.0,-334175.0,-334175.0,,,,66819.0,-2506.0,,-18617.0,,,,152903,2281,,-963.0,529568.0,437400.0,-530113.0,-438363.0,-1529741.0,1529741.0,-2005100.0,,,,,,,,,721423.0,,1000.0,1073.0,437400.0,,2052.0,1430406.0,,-112371664,,-192521.0,,131448444.0,,131448444.0,,,0
23,108420,25561.0,20876.0,112950887,316719.0,1600000.0,3765,1884,14949.0,,-101.0,,,,,,,0.0,,,,,274523.0,,,683.0,-0.05,,450697.0,-6498806.0,,,22426.0,-1452407.0,-1452407.0,,,,-5900.0,-13022.0,,-18796.0,,,,133981,3765,,1655.0,83317.0,130675.0,-83480.0,-129020.0,-6498806.0,6499056.0,-369953.0,,,,,,,,,661756.0,,500.0,894.0,130675.0,,1881.0,6047676.0,,-113212552,0.0,-150622.0,,,131448444.0,,,,0
24,113440,23738.0,21047.0,113678134,316719.0,,7519,5809,,,,,,,,,,0.0,,,,,274177.0,,,,,0.34,,,,,,,,-191.0,,,,,,,,,,137178,7519,,,,,,,,,,,,,,,,,,661756.0,,,894.0,,,1710.0,,,-113939242,0.0,-150622.0,,131448444.0,,131448444.0,,,0
25,90989,23907.0,21047.0,114404014,316719.0,1600000.0,3535,1996,14127.0,,532.0,,,,,,,0.0,,,,,181572.0,,,171.0,-0.01,,143838.0,-1357045.0,,,6937.0,-285902.0,-285902.0,,,,-880.0,-14845.0,,521.0,,,,114896,3535,,5580.0,222334.0,210129.0,-220786.0,-204549.0,-1357045.0,1357045.0,-771768.0,,,,,,,,,657572.0,,97773.0,894.0,210129.0,,1539.0,1213036.0,,-114646824,0.0,-150622.0,,,131448444.0,,,,0
26,99893,42098.0,21047.0,114993920,,,3648,2280,,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,,,,,,0.34,,,,,,,,-13453.0,,,,,,,,,,141991,3648,,,,,,,,,-401815.0,,,,,,,,,657572.0,,,,,,1368.0,,,-115263712,,,,131448444.0,,131448444.0,,,0
27,99893,42098.0,21047.0,114993920,,1600000.0,3648,2280,2636.0,3110.0,842.0,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,187628.0,,,342.0,-0.02,,229465.0,-2463556.0,,,7128.0,-532977.0,-532977.0,,,,-23331.0,-14676.0,,42.0,,,,141991,3648,,1767.0,345551.0,319029.0,-344645.0,-317262.0,-2463556.0,2463556.0,,,,,,,,,,706643.0,,,1415.0,319029.0,,1368.0,2233749.0,,-115263712,0.0,,,,131448444.0,,,,0
28,99893,42098.0,,114993920,,,3648,2280,,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,194102.0,,,,,0.34,,,,,,,,-6325.0,,,,,,,,,,141991,3648,,,,,,,,,-1154907.0,,,,,,,,,599899.0,,,936.0,,,1368.0,,,-115263712,0.0,-130216.0,,,,,,,0
29,99893,42098.0,21218.0,114993920,283715.0,,3648,2280,1192.0,1108.0,5704.0,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,195074.0,,,171.0,-0.01,0.34,85627.0,-1106511.0,,,191.0,-247075.0,-247075.0,,,,-14427.0,3515.0,,80.0,,,,141991,3648,,2051.0,394268.0,355729.0,-394369.0,-353678.0,-1106511.0,1106511.0,-383139.0,,,,,,,,,,,,974.0,355729.0,,1368.0,1020713.0,,-115263712,0.0,-129659.0,,,,,,,0
