,AccountsPayableCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GeneralAndAdministrativeExpense,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableTrade,InterestPaid,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingLossCarryforwards,OtherLoansPayableCurrent,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProfessionalFees,ProfitLoss,RepaymentsOfNotesPayable,RetainedEarningsAccumulatedDeficit,Revenues,SharePrice,SharesOutstanding,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,y
20,5275,16468.0,,294,2539.0,,340.0,,,100000000.0,100000.0,100000.0,100.0,,,66110.0,,,,,,,4050.0,,51836,294,138111.0,,9000.0,-9208.0,-69952.0,,,,,0.001,100000000.0,,,,,,60561.0,,15500.0,,,-4021.0,,,,,,,,,,,,,,0
21,3925,,,102,,,,,0.001,,,,,,,69952.0,,,,2437.0,,,,,53486,102,,,57129.0,-56575.0,,,14637.0,,,,,,,,,,64562.0,,23500.0,,12200.0,,,,,,,-81204.0,,,,,,,100000.0,0
22,4050,,,638,,681.0,554.0,,,,,,,,,80541.0,,-0.08,,,,,2125.0,,64611,638,,,17000.0,-16994.0,,,,,,,,,,,,,20001.0,,,,,,,,,,,-79953.0,,,,,,,,0
23,4050,16468.0,,78,,,6.0,,0.001,100000000.0,100000.0,100000.0,100.0,,,85102.0,,,,18149.0,,,-3125.0,,68612,78,,,,,-80541.0,,48852.0,,,0.001,100000000.0,,,,,,,,28000.0,,30703.0,,,,,,,-87829.0,,,,,,,,0
24,7950,16468.0,,540,,548.0,,,,100000000.0,100000.0,100000.0,100.0,,,93539.0,,-0.04,,68.0,,,,,77511,540,,,61129.0,-60835.0,-14431.0,,4021.0,,,0.001,100000000.0,,,,,,,,10000.0,,3953.0,,,,,,,-92452.0,,,,,,,,0
25,7950,,,540,,548.0,-254.0,,,,,,,,,,,-0.14,,18263.0,,,2025.0,,77511,540,,,,,-10589.0,,52839.0,,,,10000000.0,,,,,,,,19500.0,,34576.0,,,,,,,-96877.0,,,,,,,,0
26,7950,16468.0,,540,,548.0,,,,100000000.0,100000.0,100000.0,100.0,,,93539.0,,,,182.0,,,25.0,,77511,540,,,66129.0,-66027.0,,,8008.0,,,0.001,10000000.0,,,,,,,,,,7826.0,,,,,,,-96877.0,,,,,,,,0
27,7950,16468.0,,540,,,102.0,,,100000000.0,100000.0,100000.0,100.0,,,97772.0,,-0.06,,,,,3925.0,,77511,540,,,5000.0,-5192.0,-85102.0,,,,,0.001,10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,0
28,9550,,,458,,,,,0.001,,,,,,,,,,,18435.0,,,,,81662,458,,,77129.0,-76491.0,-4561.0,,58700.0,,,,,,,,,,,,,,40265.0,,,,,,,,,,,,,,,0
29,4050,,,1832,,980.0,344.0,,0.001,,,,,,,,,,,,,,-1225.0,,89661,1832,,,,,-27429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
30,4051,16468.0,,710,,,,,0.001,100000000.0,100000.0,100000.0,100.0,,,,,,,172.0,,,,,93162,710,,,81130.0,-81052.0,-27429.0,,5861.0,,,0.001,100000000.0,,,,,,,,,,5689.0,,,,,,,-109588.0,,,,,,,,0
31,4100,16468.0,,834,,340.0,78.0,,0.001,100000000.0,100000.0,100000.0,100.0,,,,,-0.14,,,,,4050.0,,97711,834,,,20001.0,-20217.0,,,,,,0.001,100000000.0,,,,,,,,,,,,,,,,,-117626.0,,,,,,,,0
32,4100,,,834,,,-216.0,,,,,,,,,,,,,22245.0,,,-1225.0,,97711,834,,,,,,,66110.0,,,,,,,,,,,,,,43865.0,,,,,,,-124320.0,,,,,,,100000.0,0
33,4100,16468.0,,834,,554.0,,,,100000000.0,100000.0,100000.0,100.0,,,,,-0.11,,4164.0,,,,,97711,834,,,25000.0,-24754.0,,,21279.0,,,0.001,100000000.0,,,,,,,,,,17115.0,,,,,,,-124320.0,,,,,,,,0
34,4100,16468.0,,834,,,,,,100000000.0,100000.0,100000.0,100.0,,,,,-0.19,,22437.0,,,1600.0,,97711,834,,,,,,,69952.0,,,0.001,100000000.0,,,,,,,,,,47515.0,,,,,,,-124320.0,,,,,,,,0
35,4300,,,1720,,294.0,,,,,,,,,,,,,,,,,-3899.0,,106411,1720,,,,,,,,,,,,,,,,,,,,,,,,,,,,-139073.0,,,,,,,,0
36,2150,,,1673,,294.0,,,,,,,,,,,,,,2178.0,,,,,111261,1673,,,16050.0,-14758.0,-10858.0,,14431.0,,,,,,,,,,,,,,12253.0,,,,,,,,,,,,,,100000.0,0
37,2150,16468.0,,1635,,,1292.0,,,100000000.0,100000.0,100000.0,100.0,,,,,,,,,,,,119261,1635,,,,,,,,,,0.001,100000000.0,,,,,,,,,,,,,,,,,,,,,,,,,0
38,3150,,,441,,,,,,,,,,,,,,-0.04,,109.0,,,,,124761,441,,,19550.0,-19380.0,-7875.0,,10589.0,,,,,,,,,,,,,,10480.0,,,,,,,,,,,,,,,0
39,3150,16468.0,,441,,,170.0,,,100000000.0,100000.0,100000.0,100.0,,,,,,,,,,,,124761,441,,,,,,,,,,0.001,100000000.0,,,,,,,,,,,,,,,,,,,,,,,,100000.0,0
40,3150,16468.0,,441,,,,,,100000000.0,100000.0,100000.0,100.0,,,,,,,24506.0,,,,,124761,441,,,24050.0,-23756.0,-15481.0,,85102.0,,,0.001,100000000.0,,,,,,,,,,60596.0,,,,,,,,,,,,,,,0
41,3150,16468.0,,441,,,294.0,,,100000000.0,100000.0,100000.0,100.0,,,,,,,2261.0,,,,,124761,441,,,,,,,18992.0,,,0.001,100000000.0,,,,,,,,,,16731.0,,,,,,,,,,,,,,,0
42,3800,,,4673,,,,,,,,,,,,,,-0.11,,,,,,,135411,4673,,,,,-4621.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0,0
