,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsReceivableNet,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdvancesToAffiliate,AllowanceForDoubtfulAccountsReceivable,AllowanceForDoubtfulAccountsReceivableChargeOffs,AreaOfRealEstateProperty,Assets,AssetsNet,BuildingsAndImprovementsGross,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CostsAndExpenses,DebtConversionOriginalDebtAmount1,Depreciation,DirectCostsOfLeasedAndRentedPropertyOrEquipment,DueToAffiliateCurrent,DueToAffiliateCurrentAndNoncurrent,DueToRelatedPartiesCurrentAndNoncurrent,GeneralAndAdministrativeExpense,GeneralPartnersCapitalAccount,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInOtherOperatingCapitalNet,IncreaseDecreaseInOtherOperatingLiabilities,InterestAndOtherIncome,InterestExpense,InterestExpenseOther,InterestExpenseRelatedParty,InterestPaid,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,LaborAndRelatedExpense,Land,Liabilities,LiabilitiesAndStockholdersEquity,LimitedPartnersCapitalAccount,LiquidationBasisOfAccountingAccruedCostsToDisposeOfAssetsAndLiabilities,ManagementFeeExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossPerOutstandingLimitedPartnershipUnit47,NetIncomeLossPerOutstandingLimitedPartnershipUnit48,NetIncomeLossPerOutstandingLimitedPartnershipUnit49,NetIncomeLossPerOutstandingLimitedPartnershipUnit50,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,NotesPayable,NumberOfRealEstateProperties54,NumberOfRealEstateProperties55,NumberOfReportableSegments,OperatingLeasesFutureMinimumPaymentsReceivable,OperatingLeasesFutureMinimumPaymentsReceivableCurrent,OperatingLeasesFutureMinimumPaymentsReceivableInFourYears,OperatingLeasesFutureMinimumPaymentsReceivableInThreeYears,OperatingLeasesFutureMinimumPaymentsReceivableInTwoYears,OtherAssets,OtherGeneralAndAdministrativeExpense,OtherNotesPayable,OtherSalesRevenueNet,PartnersCapital,PartnersCapitalAccountPublicSaleOfUnits,PartnersCapitalAccountUnitsSoldInPublicOffering,PaymentsForAdvanceToAffiliate,PaymentsForMortgageDeposits,PaymentsForProceedsFromLongtermInvestments,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromCollectionOfAdvanceToAffiliate,ProceedsFromDebtNetOfIssuanceCosts,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,PropertyPlantAndEquipmentAdditions,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,QuantifyingMisstatementInCurrentYearFinancialStatementsAmount,RealEstateAccumulatedDepreciation,RealEstateAccumulatedDepreciationDepreciationExpense,RealEstateAndAccumulatedDepreciationAccumulatedDepreciation,RealEstateAndAccumulatedDepreciationAmountOfEncumbrances,RealEstateAndAccumulatedDepreciationCarryingAmountOfBuildingsAndImprovements,RealEstateAndAccumulatedDepreciationCarryingAmountOfLand,RealEstateAndAccumulatedDepreciationCarryingAmountOfLandAndBuildingsAndImprovements,RealEstateAndAccumulatedDepreciationCostsCapitalizedSubsequentToAcquisitionImprovements,RealEstateAndAccumulatedDepreciationInitialCostOfBuildingsAndImprovements,RealEstateAndAccumulatedDepreciationInitialCostOfLand,RealEstateFederalIncomeTaxBasis,RealEstateGrossAtCarryingValue,RealEstateOtherAdditions,RealEstateRevenueNet,RetainedEarningsAccumulatedDeficit,Revenues,SECScheduleIIIRealEstateAccumulatedDepreciationDepreciationExpense,SecuredDebt,SecurityDepositLiability,WeightedAverageLimitedPartnershipUnitsOutstanding,y
20,140211,1105.0,1759295.0,,,,,571200,,,,0.0,7798.0,,,,,,1763473,,,,,,,,,,,27505.0,63000.0,,101978.0,,,654908.0,,,,571200.0,,,,,,7770.0,,,,,,,-12.05,,,,,,,,,,1031.0,,,,-3129064.0,,,,,,,,,,,,,570095.0,,,,,,,,,,,,,,,,221361.0,,384164.0,,1795714.0,33066.0,,0
21,140211,1105.0,1759295.0,,,,,571200,,,,,27689.0,167871.0,,20049.0,88320.0,,1763473,,10925.0,,,,,,,,,17948.0,26821.0,,51538.0,,,654908.0,,,,571200.0,,,,,,7798.0,-87483.0,,,,,,-12.05,,,,,,,,,,4786.0,16694.0,,,-3129064.0,,,,,,,,,,,,2329390.0,570095.0,,,,,,,,,,,,,,,,79403.0,,,,1816840.0,26837.0,,0
22,140211,1105.0,1759295.0,,,,,571200,,,,300.0,,,,,,,1763473,,,,,,,,,,,17948.0,85000.0,,155616.0,,,676034.0,,,,571200.0,,,,,,7798.0,,,,,,,-5.1,,,,,,,,,,8907.0,,,,-3129064.0,,,,,,,,,,,,2329390.0,570095.0,,,,,,,,,,,,,,,,80388.0,,,,,,,0
23,140210,1104.0,,,,,,571199,,,,0.0,,660834.0,,82746.0,332264.0,,1763473,,45652.0,,,,,,,,,428.0,4018.0,,155616.0,,,,,,,571199.0,,,,,,87033.0,-354250.0,,,,,,-17.32,,,,,,,,,,9985.0,69146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303168.0,,134918.0,,,,21002.8,0
24,196838,,1779574.0,,,,,572230,,,,,,,,,,,1379327,,,,,,,,,,,28050.0,21000.0,,53638.0,,,697160.0,,,,572230.0,,,,,,,,,,,,,,,,,,,,,,,8797.0,,,,-2968924.0,,,,,,,,,,,,2329390.0,,,,,,,,,,,,,,,,,,,134918.0,,,,,0
25,117784,2974.0,1800685.0,,,,,557576,,,,,,,,,,,1947763,,,,,,,,,,,28050.0,1826.0,,211731.0,,,718286.0,,,,557576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-3208355.0,,,,,,,,,,,,2329400.0,549816.0,,,,,,,,,,,,,,,,,,242636.0,,,,,0
26,104120,1074.0,1823651.0,,,,,546466,,,,,,222806.0,,20331.0,87304.0,,1995932,,12835.0,,,,,,,,,10102.0,108000.0,,,,,739412.0,,,,546466.0,,,,,,,-134986.0,,,,,,,,,,,,,,,,7614.0,12136.0,,,-3283013.0,,,,,,,,,,,,2388734.0,528715.0,,,,,,,,,,,,,,,,87499.0,,242636.0,,,,21002.8,0
27,110698,7891.0,,,,,,590757,,,,0.0,,159453.0,,,86417.0,,2121718,,,,,,,,,,,28849.0,4384.0,,57943.0,,,760538.0,,,,590757.0,,,,,,,-71633.0,,,,,,,,,,,,,,,,4409.0,13049.0,,,-3390073.0,,,,,,,,,,,,,565083.0,,,,,,,,,,,,,,,,,,117703.0,,,,21003.0,0
28,88699,7155.0,,,,,,3259238,,,,7770.0,,412335.0,,40472.0,190937.0,,2212590,,25337.0,,,,,,,,,,23000.0,,117705.0,,,,,,,,,,,,,,-230456.0,,,,,,,,,,,,,,,,4106.0,19634.0,,,,,,,,,,,,,,,,3215597.0,,,,,,,,,,,,,,,,181019.0,,377063.0,,,,21002.8,0
29,68494,11930.0,,,,,,3814183,,,,7798.0,,189530.0,,20141.0,103633.0,,2298629,,12503.0,,,,,,,,,,127000.0,,241777.0,,,,,,,,,,,,,,-95471.0,,,,,,,,,,,,,,,,,7497.0,,,,,,,,,,,,,,,,3730126.0,,,,,,,,,,,,,,,,93520.0,,134427.0,,,,,0
30,81418,17626.0,,,,,,3879212,,,,7798.0,,167721.0,,,103843.0,,2388689,,10003.0,,,,,,,,,,,,,,,,,,,,,,,,,,-73837.0,,,,,,,,,,,,,,,,,7278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93345.0,,502789.0,,,,,0
31,171124,22777.0,,,,,,3869640,,,,27689.0,,589506.0,,60521.0,293341.0,,2466233,,33964.0,,,,,,,,,,,,,,,,,,,,,,,,,,-311093.0,,,,,,,,,,,,,,,,,22161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277488.0,,,,,,21002.8,0
32,49289,2581.0,,,,,,3748308,,,,,,480811.0,,,290474.0,,2519437,,28337.0,,,,,,,,,,,,,,,,,,,,,,,,,,-203130.0,,,,,,,,,,,,,,,,,22836.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276788.0,,,,,,21003.0,0
