,0
MDLZ - Mondelez International Inc. Class A Common Stock,MDLZ
MDNA - Medicenna Therapeutics Corp. Common Shares,MDNA
MDRR - Medalist Diversified REIT Inc. Common Stock,MDRR
MDRRP - Medalist Diversified REIT Inc. Series A Cumulative Redeemable Preferred Stock,MDRRP
MDRX - Veradigm Inc. Common Stock,MDRX
MDT - Medtronic plc. Ordinary Shares,MDT
MDU - MDU Resources Group Inc. Common Stock (Holding Company),MDU
MDV - Modiv Inc. Class C Common Stock,MDV
MDV^A - Modiv Inc. 7.375% Series A Cumulative Redeemable Perpetual Preferred Stock,MDV^A
MDVL - MedAvail Holdings Inc. Common Stock,MDVL
MDWD - MediWound Ltd. Ordinary Shares,MDWD
MDWT - Midwest Holding Inc. Common Stock,MDWT
MDXG - MiMedx Group Inc Common Stock,MDXG
MDXH - MDxHealth SA American Depositary Shares,MDXH
ME - 23andMe Holding Co. Class A Common Stock,ME
MEC - Mayville Engineering Company Inc. Common Stock,MEC
MED - MEDIFAST INC Common Stock,MED
MEDP - Medpace Holdings Inc. Common Stock,MEDP
MEDS - TRxADE HEALTH Inc. Common Stock,MEDS
MEG - Montrose Environmental Group Inc. Common Stock,MEG
MEGI - MainStay CBRE Global Infrastructure Megatrends Fund Common Shares,MEGI
MEGL - Magic Empire Global Limited Ordinary Shares,MEGL
MEI - Methode Electronics Inc. Common Stock,MEI
MEIP - MEI Pharma Inc. Common Stock,MEIP
MELI - MercadoLibre Inc. Common Stock,MELI
MEOH - Methanex Corporation Common Stock,MEOH
MER^K - Bank of America Corporation Income Capital Obligation Notes initially due December 15 2066,MER^K
MERC - Mercer International Inc. Common Stock,MERC
MESA - Mesa Air Group Inc. Common Stock,MESA
MESO - Mesoblast Limited American Depositary Shares,MESO
MET - MetLife Inc. Common Stock,MET
MET^A - MetLife Inc. Preferred Series A Floating Rate,MET^A
MET^E - MetLife Inc. Depositary shares each representing a 1/1000th interest in a share of the Issuera??s 5.625% Non-Cumulative Preferred Stock Series E.,MET^E
MET^F - MetLife Inc. Depositary Shares each representing a 1/1000th interest in a share of 4.75% Non-Cumulative Preferred Stock Series F,MET^F
META - Meta Platforms Inc. Class A Common Stock,META
METC - Ramaco Resources Inc. Class A Common Stock,METC
METCB - Ramaco Resources Inc. Class B Common Stock,METCB
METCL - Ramaco Resources Inc. 9.00% Senior Notes due 2026,METCL
METX - Meten Holding Group Ltd. Ordinary Shares,METX
METXW - Meten Holding Group Ltd. Warrant,METXW
MF - Missfresh Limited American Depositary Shares,MF
MFA - MFA Financial Inc.,MFA
MFA^B - MFA Financial Inc. Preferred Series B,MFA^B
MFA^C - MFA Financial Inc. 6.50% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,MFA^C
MFC - Manulife Financial Corporation Common Stock,MFC
MFD - Macquarie First Trust Global Common Stock,MFD
MFG - Mizuho Financial Group Inc. Sponosred ADR (Japan),MFG
MFH - Mercurity Fintech Holding Inc. Ordinary Shares,MFH
MFIC - MidCap Financial Investment Corporation Common Stock,MFIC
MFIN - Medallion Financial Corp. Common Stock,MFIN
MFM - MFS Municipal Income Trust Common Stock,MFM
MFV - MFS Special Value Trust Common Stock,MFV
MG - Mistras Group Inc Common Stock,MG
MGA - Magna International Inc. Common Stock,MGA
MGAM - Mobile Global Esports Inc. Common Stock,MGAM
MGEE - MGE Energy Inc,MGEE
MGF - MFS Government Markets Income Trust Common Stock,MGF
MGIC - Magic Software Enterprises Ltd. Ordinary Shares,MGIC
MGIH - Millennium Group International Holdings Limited Ordinary Shares,MGIH
MGLD - The Marygold Companies Inc. Common Stock,MGLD
MGM - MGM Resorts International Common Stock,MGM
MGNI - Magnite Inc. Common Stock,MGNI
MGNX - MacroGenics Inc. Common Stock,MGNX
MGOL - MGO Global Inc. Common Stock,MGOL
MGPI - MGP Ingredients Inc.,MGPI
MGR - Affiliated Managers Group Inc. 5.875% Junior Subordinated Notes due 2059,MGR
MGRB - Affiliated Managers Group Inc. 4.750% Junior Subordinated Notes due 2060,MGRB
MGRC - McGrath RentCorp Common Stock,MGRC
MGRD - Affiliated Managers Group Inc. 4.200% Junior Subordinated Notes due 2061,MGRD
MGRM - Monogram Orthopaedics Inc. Common Stock,MGRM
MGRX - Mangoceuticals Inc. Common Stock,MGRX
MGTA - Magenta Therapeutics Inc. Common Stock,MGTA
MGTX - MeiraGTx Holdings plc Ordinary Shares,MGTX
MGY - Magnolia Oil & Gas Corporation Class A Common Stock,MGY
MGYR - Magyar Bancorp Inc. Common Stock,MGYR
MHD - Blackrock MuniHoldings Fund Inc. Common Stock,MHD
MHF - Western Asset Municipal High Income Fund Inc. Common Stock,MHF
MHH - Mastech Digital Inc Common Stock,MHH
MHI - Pioneer Municipal High Income Fund Inc.,MHI
MHK - Mohawk Industries Inc. Common Stock,MHK
MHLA - Maiden Holdings Ltd. 6.625% Notes due 2046,MHLA
MHLD - Maiden Holdings Ltd.,MHLD
MHN - Blackrock MuniHoldings New York Quality Fund Inc. Common Stock,MHN
MHNC - Maiden Holdings North America Ltd. 7.75% Notes due 2043,MHNC
MHO - M/I Homes Inc. Common Stock,MHO
MHUA - Meihua International Medical Technologies Co. Ltd. Ordinary Shares,MHUA
MICS - The Singing Machine Company Inc. Common Stock,MICS
MIDD - Middleby Corporation (The) Common Stock,MIDD
MIGI - Mawson Infrastructure Group Inc. Common Stock,MIGI
MIMO - Airspan Networks Holdings Inc. Common Stock,MIMO
MIN - MFS Intermediate Income Trust Common Stock,MIN
MIND - MIND Technology Inc. Common Stock (DE),MIND
MINDP - MIND Technology Inc. Series A 9.00% Series A Cumulative Preferred Stock (DE),MINDP
MINM - Minim Inc. Common Stock,MINM
MIO - Pioneer Municipal High Income Opportunities Fund Inc. Common Stock,MIO
MIR - Mirion Technologies Inc. Class A Common Stock,MIR
MIRM - Mirum Pharmaceuticals Inc. Common Stock,MIRM
MIRO - Miromatrix Medical Inc. Common Stock,MIRO
MIST - Milestone Pharmaceuticals Inc. Common Shares,MIST
MITA - Coliseum Acquisition Corp. Class A Ordinary Share,MITA
MITAU - Coliseum Acquisition Corp. Unit,MITAU
MITAW - Coliseum Acquisition Corp. Warrant,MITAW
MITK - Mitek Systems Inc. Common Stock,MITK
MITQ - Moving iMage Technologies Inc. Common Stock,MITQ
MITT - AG Mortgage Investment Trust Inc. Common Stock,MITT
MITT^A - AG Mortgage Investment Trust Inc. 8.25% Preferred Series A,MITT^A
MITT^B - AG Mortgage Investment Trust Inc. Preferred Series B,MITT^B
MITT^C - AG Mortgage Investment Trust Inc. 8.00% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock $0.01 par value per share,MITT^C
MIXT - MiX Telematics Limited American Depositary Shares each representing 25 Ordinary Shares,MIXT
MIY - Blackrock MuniYield Michigan Quality Fund Inc. Common Stock,MIY
MKC - McCormick & Company Incorporated Common Stock,MKC
MKFG - Markforged Holding Corporation Common Stock,MKFG
MKL - Markel Group Inc. Common Stock,MKL
MKSI - MKS Instruments Inc. Common Stock,MKSI
MKTW - MarketWise Inc. Class A Common Stock,MKTW
MKTX - MarketAxess Holdings Inc. Common Stock,MKTX
MKUL - Molekule Group Inc. Common Stock,MKUL
ML - MoneyLion Inc. Class A Common Stock,ML
MLAB - Mesa Laboratories Inc. Common Stock,MLAB
MLCO - Melco Resorts & Entertainment Limited American Depositary Shares,MLCO
MLEC - Moolec Science SA Ordinary Shares,MLEC
MLECW - Moolec Science SA Warrant,MLECW
MLGO - MicroAlgo Inc. Ordinary Shares,MLGO
MLI - Mueller Industries Inc. Common Stock,MLI
MLKN - MillerKnoll Inc. Common Stock,MLKN
MLM - Martin Marietta Materials Inc. Common Stock,MLM
MLNK - MeridianLink Inc. Common Stock,MLNK
MLP - Maui Land & Pineapple Company Inc. Common Stock,MLP
MLR - Miller Industries Inc. Common Stock,MLR
MLSS - Milestone Scientific Inc. Common Stock,MLSS
MLTX - MoonLake Immunotherapeutics Class A Ordinary Shares,MLTX
MLVF - Malvern Bancorp Inc. Common Stock,MLVF
MLYS - Mineralys Therapeutics Inc. Common Stock,MLYS
MMAT - Meta Materials Inc. Common Stock,MMAT
MMC - Marsh & McLennan Companies Inc. Common Stock,MMC
MMD - MainStay MacKay DefinedTerm Municipal Opportunities Fund,MMD
MMI - Marcus & Millichap Inc. Common Stock,MMI
MMLP - Martin Midstream Partners L.P. Limited Partnership,MMLP
MMM - 3M Company Common Stock,MMM
MMMB - MamaMancini's Holdings Inc. Common Stock,MMMB
MMP - Magellan Midstream Partners L.P. Limited Partnership,MMP
MMS - Maximus Inc. Common Stock,MMS
MMSI - Merit Medical Systems Inc. Common Stock,MMSI
MMT - MFS Multimarket Income Trust Common Stock,MMT
MMU - Western Asset Managed Municipals Fund Inc. Common Stock,MMU
MMV - MultiMetaVerse Holdings Limited Class A Ordinary Share,MMV
MMVWW - MultiMetaVerse Holdings Limited Warrant,MMVWW
MMYT - MakeMyTrip Limited Ordinary Shares,MMYT
MNDO - MIND C.T.I. Ltd. Ordinary Shares,MNDO
MNDY - monday.com Ltd. Ordinary Shares,MNDY
MNK - Mallinckrodt plc Ordinary Shares,MNK
MNKD - MannKind Corporation Common Stock,MNKD
MNMD - Mind Medicine (MindMed) Inc. Common Shares,MNMD
MNOV - Medicinova Inc Common Stock,MNOV
MNP - Western Asset Municipal Partners Fund Inc. Common Stock,MNP
MNPR - Monopar Therapeutics Inc. Common Stock,MNPR
MNRO - Monro Inc. Common Stock,MNRO
MNSB - MainStreet Bancshares Inc. Common Stock,MNSB
MNSBP - MainStreet Bancshares Inc. Depositary Shares,MNSBP
MNSO - MINISO Group Holding Limited American Depositary Shares each representing four Ordinary Shares,MNSO
MNST - Monster Beverage Corporation,MNST
MNTK - Montauk Renewables Inc. Common Stock,MNTK
MNTN - Everest Consolidator Acquisition Corporation Class A Common Stock,MNTN
MNTS - Momentus Inc. Class A Common Stock,MNTS
MNTSW - Momentus Inc. Warrant,MNTSW
MNTX - Manitex International Inc. Common Stock,MNTX
MO - Altria Group Inc.,MO
MOB - Mobilicom Limited American Depositary Shares,MOB
MOBBW - Mobilicom Limited Warrants,MOBBW
MOBQ - Mobiquity Technologies Inc. Common Stock,MOBQ
MOBQW - Mobiquity Technologies Inc. Warrant,MOBQW
MOBV - Mobiv Acquisition Corp Class A Common Stock,MOBV
MOBVW - Mobiv Acquisition Corp Warrant,MOBVW
MOD - Modine Manufacturing Company Common Stock,MOD
MODD - Modular Medical Inc. Common Stock,MODD
MODG - Topgolf Callaway Brands Corp. Common Stock,MODG
MODN - Model N Inc. Common Stock,MODN
MODV - ModivCare Inc. Common Stock,MODV
MOFG - MidWestOne Financial Gp Common Stock,MOFG
MOGO - Mogo Inc. Common Shares,MOGO
MOGU - MOGU Inc. American Depositary Shares (each  representing 25 Class A Ordinary Shares),MOGU
MOH - Molina Healthcare Inc Common Stock,MOH
MOLN - Molecular Partners AG American Depositary Shares,MOLN
MOMO - Hello Group Inc. American Depositary Shares,MOMO
MOND - Mondee Holdings Inc. Class A Common Stock,MOND
MOR - MorphoSys AG American Depositary Shares,MOR
MORF - Morphic Holding Inc. Common Stock,MORF
MORN - Morningstar Inc. Common Stock,MORN
MOS - Mosaic Company (The) Common Stock,MOS
MOTS - Motus GI Holdings Inc. Common Stock,MOTS
MOV - Movado Group Inc. Common Stock,MOV
MOVE - Movano Inc. Common Stock,MOVE
MOXC - Moxian (BVI) Inc Ordinary Shares,MOXC
MP - MP Materials Corp. Common Stock,MP
MPA - Blackrock MuniYield Pennsylvania Quality Fund Common Stock,MPA
MPAA - Motorcar Parts  of America Inc. Common Stock,MPAA
MPB - Mid Penn Bancorp Common Stock,MPB
MPC - Marathon Petroleum Corporation Common Stock,MPC
MPLN - MultiPlan Corporation Class A Common Stock,MPLN
MPLX - MPLX LP Common Units Representing Limited Partner Interests,MPLX
MPRA - Mercato Partners Acquisition Corporation Class A Common Stock,MPRA
MPRAU - Mercato Partners Acquisition Corporation Unit,MPRAU
MPRAW - Mercato Partners Acquisition Corporation Warrant,MPRAW
MPTI - M-tron Industries Inc. Common Stock,MPTI
MPU - Mega Matrix Corp. Common Stock,MPU
MPV - Barings Participation Investors Common Stock,MPV
MPW - Medical Properties Trust Inc. common stock,MPW
MPWR - Monolithic Power Systems Inc. Common Stock,MPWR
MPX - Marine Products Corporation Common Stock,MPX
MQ - Marqeta Inc. Class A Common Stock,MQ
MQT - Blackrock MuniYield Quality Fund II Inc. Common Stock,MQT
MQY - Blackrock MuniYield Quality Fund Inc. Common Stock,MQY
MRAI - Marpai Inc. Class A Common Stock,MRAI
MRAM - Everspin Technologies Inc. Common Stock,MRAM
MRBK - Meridian Corporation Common Stock,MRBK
MRC - MRC Global Inc. Common Stock,MRC
MRCC - Monroe Capital Corporation Common Stock,MRCC
MRCY - Mercury Systems Inc Common Stock,MRCY
MRDB - MariaDB plc Ordinary Shares,MRDB
MREO - Mereo BioPharma Group plc American Depositary Shares,MREO
MRIN - Marin Software Incorporated Common Stock,MRIN
MRK - Merck & Company Inc. Common Stock (new),MRK
MRKR - Marker Therapeutics Inc. Common Stock,MRKR
MRM - MEDIROM Healthcare Technologies Inc. American Depositary Share,MRM
MRNA - Moderna Inc. Common Stock,MRNA
MRNS - Marinus Pharmaceuticals Inc. Common Stock,MRNS
MRO - Marathon Oil Corporation Common Stock,MRO
MRSN - Mersana Therapeutics Inc. Common Stock,MRSN
MRTN - Marten Transport Ltd. Common Stock,MRTN
MRTX - Mirati Therapeutics Inc. Common Stock,MRTX
MRUS - Merus N.V. Common Shares,MRUS
MRVI - Maravai LifeSciences Holdings Inc. Class A Common Stock,MRVI
MRVL - Marvell Technology Inc. Common Stock,MRVL
MS - Morgan Stanley Common Stock,MS
MS^A - Morgan Stanley Dep Shs repstg 1/1000 Pfd Ser A,MS^A
MS^E - Morgan Stanley DEPOSITARY SHARES REP 1/1000TH SHARES FIXED/FLTG PREFERRED STOCK SERIES E,MS^E
MS^F - Morgan Stanley Dep Shs Rpstg 1/1000th Int Prd Ser F Fxd to Flag,MS^F
MS^I - Morgan Stanley Depository Shares Representing 1/1000th Preferred Series 1 Fixed to Floating Non (Cum),MS^I
MS^K - Morgan Stanley Depositary Shares each representing 1/1000th of a share of Fixed-to-Floating Rate Non-Cumulative Preferred Stock  Series K,MS^K
MS^L - Morgan Stanley Depositary Shares each representing 1/1000th of a share of 4.875% Non-Cumulative Preferred Stock Series L,MS^L
MS^O - Morgan Stanley Depositary Shares each representing 1/1000th of a share of 4.250% Non-Cumulative Preferred Stock Series O,MS^O
MS^P - Morgan Stanley Depositary Shares each representing 1/1000th of a share of 6.500% Non-Cumulative Preferred Stock Series P,MS^P
MSA - MSA Safety Incorporated Common Stock,MSA
MSB - Mesabi Trust Common Stock,MSB
MSBI - Midland States Bancorp Inc. Common Stock,MSBI
MSBIP - Midland States Bancorp Inc. Depositary Shares Each Representing a 1/40th Interest in a Share of 7.750% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock Series A,MSBIP
MSC - Studio City International Holdings Limited American depositary shares each representing four  Class A ordinary shares,MSC
MSCI - MSCI Inc. Common Stock,MSCI
MSD - Morgan Stanley Emerging Markets Debt Fund Inc. Common Stock,MSD
MSEX - Middlesex Water Company Common Stock,MSEX
MSFT - Microsoft Corporation Common Stock,MSFT
MSGE - Madison Square Garden Entertainment Corp. Class A Common Stock,MSGE
MSGM - Motorsport Games Inc. Class A Common Stock,MSGM
MSGS - Madison Square Garden Sports Corp. Class A Common Stock (New),MSGS
MSI - Motorola Solutions Inc. Common Stock,MSI
MSM - MSC Industrial Direct Company Inc. Common Stock,MSM
MSN - Emerson Radio Corporation Common Stock,MSN
MSSA - Metal Sky Star Acquisition Corporation Ordinary shares,MSSA
MSSAU - Metal Sky Star Acquisition Corporation Unit,MSSAU
MSTR - MicroStrategy Incorporated Common Stock Class A,MSTR
MSVB - Mid-Southern Bancorp Inc. Common Stock,MSVB
MT - Arcelor Mittal NY Registry Shares NEW,MT
MTA - Metalla Royalty & Streaming Ltd. Common Shares,MTA
MTAC - MedTech Acquisition Corporation Class A Common Stock,MTAC
MTACW - MedTech Acquisition Corporation Warrant,MTACW
MTAL - Metals Acquisition Limited Ordinary Shares,MTAL
MTB - M&T Bank Corporation Common Stock,MTB
MTB^H - M&T Bank Corporation Perpetual Fixed-to-Floating Rate Non-Cumulative Preferred Stock Series H,MTB^H
MTBL - Moatable Inc. American Depositary Share (each representing forty-five (45) Class A Ordinary Shares),MTBL
MTC - MMTec Inc. Common Shares,MTC
MTCH - Match Group Inc. Common Stock,MTCH
MTD - Mettler-Toledo International Inc. Common Stock,MTD
MTDR - Matador Resources Company Common Stock,MTDR
MTEK - Maris-Tech Ltd. Ordinary Shares,MTEK
MTEKW - Maris-Tech Ltd. Warrants,MTEKW
MTEM - Molecular Templates Inc. Common Stock,MTEM
MTEX - Mannatech Incorporated Common Stock,MTEX
MTG - MGIC Investment Corporation Common Stock,MTG
MTH - Meritage Homes Corporation Common Stock,MTH
MTLS - Materialise NV American Depositary Shares,MTLS
MTN - Vail Resorts Inc. Common Stock,MTN
MTNB - Matinas Biopharma Holdings Inc. Common Stock,MTNB
MTR - Mesa Royalty Trust Common Stock,MTR
MTRN - Materion Corporation,MTRN
MTRX - Matrix Service Company Common Stock,MTRX
MTRY - Monterey Innovation Acquisition Corp. Common Stock,MTRY
MTRYW - Monterey Innovation Acquisition Corp. Warrant,MTRYW
MTSI - MACOM Technology Solutions Holdings Inc. Common Stock,MTSI
MTTR - Matterport Inc. Class A Common Stock,MTTR
MTW - Manitowoc Company Inc. (The) Common Stock,MTW
MTX - Minerals Technologies Inc. Common Stock,MTX
MTZ - MasTec Inc. Common Stock,MTZ
MU - Micron Technology Inc. Common Stock,MU
MUA - Blackrock MuniAssets Fund Inc Common Stock,MUA
MUC - Blackrock MuniHoldings California Quality Fund Inc.  Common Stock,MUC
MUE - Blackrock MuniHoldings Quality Fund II Inc. Common Stock,MUE
MUFG - Mitsubishi UFJ Financial Group Inc. Common Stock,MUFG
MUI - BlackRock Municipal Income Fund Inc. Common Stock,MUI
MUJ - Blackrock MuniHoldings New Jersey Quality Fund Inc. Common Stock,MUJ
MULN - Mullen Automotive Inc. Common Stock,MULN
MUR - Murphy Oil Corporation Common Stock,MUR
MURF - Murphy Canyon Acquisition Corp. Class A Common Stock,MURF
MURFW - Murphy Canyon Acquisition Corp. Warrant,MURFW
MUSA - Murphy USA Inc. Common Stock,MUSA
MUX - McEwen Mining Inc. Common Stock,MUX
MVBF - MVB Financial Corp. Common Stock,MVBF
MVF - Blackrock MuniVest Fund Inc. Common Stock,MVF
MVIS - MicroVision Inc. Common Stock,MVIS
MVLA - Movella Holdings Inc. Common Stock,MVLA
MVLAW - Movella Holdings Inc. Warrant,MVLAW
MVO - MV Oil Trust Units of Beneficial Interests,MVO
MVST - Microvast Holdings Inc. Common Stock,MVST
MVSTW - Microvast Holdings Inc. Warrants,MVSTW
MVT - Blackrock MuniVest Fund II Inc.  Common Stock,MVT
MWA - MUELLER WATER PRODUCTS Common Stock,MWA
MWG - Multi Ways Holdings Limited Ordinary Shares,MWG
MX - Magnachip Semiconductor Corporation Common Stock,MX
MXC - Mexco Energy Corporation Common Stock,MXC
MXCT - MaxCyte Inc. Common Stock,MXCT
MXE - Mexico Equity and Income Fund Inc. (The) Common Stock,MXE
MXF - Mexico Fund Inc. (The) Common Stock,MXF
MXL - MaxLinear Inc. Common Stock,MXL
MYD - Blackrock MuniYield Fund Inc.  Common Stock,MYD
MYE - Myers Industries Inc. Common Stock,MYE
MYFW - First Western Financial Inc. Common Stock,MYFW
MYGN - Myriad Genetics Inc. Common Stock,MYGN
MYI - Blackrock MuniYield Quality Fund III Inc Common Stock,MYI
MYMD - MyMD Pharmaceuticals Inc. Common Stock,MYMD
MYN - Blackrock MuniYield New York Quality Fund Inc.Common Stock,MYN
MYNA - Mynaric AG American Depository Shares,MYNA
MYNZ - Mainz Biomed N.V. Ordinary Shares,MYNZ
MYO - Myomo Inc. Common Stock,MYO
MYPS - PLAYSTUDIOS Inc.  Class A Common Stock,MYPS
MYPSW - PLAYSTUDIOS Inc. Warrant,MYPSW
MYRG - MYR Group Inc. Common Stock,MYRG
MYSZ - My Size Inc. Common Stock,MYSZ
MYTE - MYT Netherlands Parent B.V. American Depositary Shares each representing one Ordinary Share,MYTE
nan - Nano Labs Ltd American Depositary Shares,
NAAS - NaaS Technology Inc. American Depositary Shares,NAAS
NABL - N-able Inc. Common Stock,NABL
NAC - Nuveen California Quality Municipal Income Fund,NAC
NAD - Nuveen Quality Municipal Income Fund Common Stock,NAD
NAII - Natural Alternatives International Inc. Common Stock,NAII
NAK - Northern Dynasty Minerals Ltd. Common Stock,NAK
NAMS - NewAmsterdam Pharma Company N.V. Ordinary Shares,NAMS
NAMSW - NewAmsterdam Pharma Company N.V. Warrant,NAMSW
NAN - Nuveen New York Quality Municipal Income Fund Common Stock,NAN
NAOV - NanoVibronix Inc. Common Stock,NAOV
NAPA - The Duckhorn Portfolio Inc. Common Stock,NAPA
NARI - Inari Medical Inc. Common Stock,NARI
NAT - Nordic American Tankers Limited Common Stock,NAT
NATH - Nathan's Famous Inc. Common Stock,NATH
NATI - National Instruments Corporation Common Stock,NATI
NATR - Nature's Sunshine Products Inc. Common Stock,NATR
NAUT - Nautilus Biotechnolgy Inc. Common Stock,NAUT
NAVB - Navidea Biopharmaceuticals Inc. Common Stock,NAVB
NAVI - Navient Corporation Common Stock,NAVI
NAZ - Nuveen Arizona Quality Municipal Income Fund Common Stock,NAZ
NB - NioCorp Developments Ltd. Common Stock,NB
NBB - Nuveen Taxable Municipal Income Fund Common Shares of Beneficial Interest,NBB
NBH - Neuberger Berman Municipal Fund Inc. Common Stock,NBH
NBHC - National Bank Holdings Corporation Common Stock,NBHC
NBIX - Neurocrine Biosciences Inc. Common Stock,NBIX
NBN - Northeast Bank Common Stock,NBN
NBO - Neuberger Berman New York Municipal Fund Inc. Common Stock,NBO
NBR - Nabors Industries Ltd.,NBR
NBRV - Nabriva Therapeutics plc Ordinary Shares Ireland,NBRV
NBSE - NeuBase Therapeutics Inc.  Common Stock,NBSE
NBST - Newbury Street Acquisition Corporation Common Stock,NBST
NBSTU - Newbury Street Acquisition Corporation Units,NBSTU
NBSTW - Newbury Street Acquisition Corporation Warrants,NBSTW
NBTB - NBT Bancorp Inc. Common Stock,NBTB
NBTX - Nanobiotix S.A. American Depositary Shares,NBTX
NBW - Neuberger Berman California Municipal Fund Inc Common Stock,NBW
NBXG - Neuberger Berman Next Generation Connectivity Fund Inc. Common Stock,NBXG
NBY - NovaBay Pharmaceuticals Inc. Common Stock,NBY
NC - NACCO Industries Inc. Common Stock,NC
NCA - Nuveen California Municipal Value Fund,NCA
NCAC - Newcourt Acquisition Corp Class A Ordinary Share,NCAC
NCLH - Norwegian Cruise Line Holdings Ltd. Ordinary Shares,NCLH
NCMI - National CineMedia Inc. Common Stock,NCMI
NCNA - NuCana plc American Depositary Share,NCNA
NCNO - nCino Inc. Common Stock,NCNO
NCPL - Netcapital Inc. Common Stock,NCPL
NCPLW - Netcapital Inc. Warrants,NCPLW
NCR - NCR Corporation Common Stock,NCR
NCRA - Nocera Inc. Common Stock,NCRA
NCSM - NCS Multistage Holdings Inc. Common Stock,NCSM
NCTY - The9 Limited American Depository Shares,NCTY
NCV - Virtus Convertible & Income Fund Common Shares of Beneficial Interest,NCV
NCV^A - Virtus Convertible & Income Fund 5.625% Series A Cumulative Preferred Shares,NCV^A
NCZ - Virtus Convertible & Income Fund II Common Shares of Beneficial Interest,NCZ
NCZ^A - Virtus Convertible & Income Fund II 5.50% Series A Cumulative Preferred Shares,NCZ^A
NDAQ - Nasdaq Inc. Common Stock,NDAQ
NDLS - Noodles & Company Class A Common Stock,NDLS
NDMO - Nuveen Dynamic Municipal Opportunities Fund Common Shares of Beneficial Interest,NDMO
NDP - Tortoise Energy Independence Fund Inc. Common Stock,NDP
NDRA - ENDRA Life Sciences Inc. Common Stock,NDRA
NDSN - Nordson Corporation Common Stock,NDSN
NE - Noble Corporation plc A Ordinary Shares,NE
NEA - Nuveen AMT-Free Quality Municipal Income Fund Common Shares of Beneficial Interest Par Value $.01,NEA
NECB - NorthEast Community Bancorp Inc. Common Stock,NECB
NEE - NextEra Energy Inc. Common Stock,NEE
NEE^N - NextEra Energy Inc. Series N Junior Subordinated Debentures due March 1 2079,NEE^N
NEE^Q - NextEra Energy Inc. 6.219% Corporate Units,NEE^Q
NEE^R - NextEra Energy Inc. 6.926% Corporate Units,NEE^R
NEGG - Newegg Commerce Inc. Common Shares,NEGG
NEM - Newmont Corporation,NEM
NEN - New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,NEN
NEO - NeoGenomics Inc. Common Stock,NEO
NEOG - Neogen Corporation Common Stock,NEOG
NEON - Neonode Inc. Common Stock,NEON
NEOV - NeoVolta Inc. Common Stock,NEOV
NEOVW - NeoVolta Inc. Warrant,NEOVW
NEP - NextEra Energy Partners LP Common Units representing limited partner interests,NEP
NEPH - Nephros Inc. Common Stock,NEPH
NEPT - Neptune Wellness Solutions Inc. Ordinary Shares,NEPT
NERV - Minerva Neurosciences Inc Common Stock,NERV
NET - Cloudflare Inc. Class A Common Stock,NET
NETC - Nabors Energy Transition Corp. Class A Common Stock,NETC
NETI - Eneti Inc. Common Stock,NETI
NEU - NewMarket Corp Common Stock,NEU
NEWP - New Pacific Metals Corp. Common Shares,NEWP
NEWR - New Relic Inc. Common Stock,NEWR
NEWT - NewtekOne Inc. Common Stock,NEWT
NEWTL - NewtekOne Inc. 5.75% Notes due 2024,NEWTL
NEWTZ - NewtekOne Inc. 5.50% Notes Due 2026,NEWTZ
NEX - NexTier Oilfield Solutions Inc. Common Stock,NEX
NEXA - Nexa Resources S.A. Common Shares,NEXA
NEXI - NexImmune Inc. Common Stock,NEXI
NEXT - NextDecade Corporation Common Stock,NEXT
NFBK - Northfield Bancorp Inc. Common Stock (Delaware),NFBK
NFE - New Fortress Energy Inc. Class A Common Stock,NFE
NFG - National Fuel Gas Company Common Stock,NFG
NFGC - New Found Gold Corp Common Shares,NFGC
NFJ - Virtus Dividend Interest & Premium Strategy Fund Common Shares of Beneficial Interest,NFJ
NFLX - Netflix Inc. Common Stock,NFLX
NFNT - Infinite Acquisition Corp. Class A Ordinary Shares,NFNT
NFTG - The NFT Gaming Company Inc. Common Stock,NFTG
NFYS - Enphys Acquisition Corp. Class A Ordinary Shares,NFYS
NG - Novagold Resources Inc.,NG
NGD - New Gold Inc.,NGD
NGG - National Grid Transco PLC National Grid PLC (NEW) American Depositary Shares,NGG
NGL - NGL ENERGY PARTNERS LP Common Units representing Limited Partner Interests,NGL
NGL^B - NGL ENERGY PARTNERS LP 9.00% Class B Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units representing limited partnership interests,NGL^B
NGL^C - NGL ENERGY PARTNERS LP 9.625% Class C Fixed-to-Floating Rate Cumulative  Redeemable Perpetual Preferred Units representing  limited partner interests,NGL^C
NGM - NGM Biopharmaceuticals Inc. Common Stock,NGM
NGMS - NeoGames S.A. Ordinary Shares,NGMS
NGS - Natural Gas Services Group Inc. Common Stock,NGS
NGVC - Natural Grocers by Vitamin Cottage Inc. Common Stock,NGVC
NGVT - Ingevity Corporation Common Stock ,NGVT
NHC - National HealthCare Corporation Common Stock,NHC
NHI - National Health Investors Inc. Common Stock,NHI
NHS - Neuberger Berman High Yield Strategies Fund,NHS
NHTC - Natural Health Trends Corp. Common Stock,NHTC
NHWK - NightHawk Biosciences Inc. Common Stock,NHWK
NI - NiSource Inc Common Stock,NI
