,0
AENZ - Aenza S.A.A. American Depositary Shares,AENZ
AEO - American Eagle Outfitters Inc. Common Stock,AEO
AEP - American Electric Power Company Inc. Common Stock,AEP
AEPPZ - American Electric Power Company Inc. Corporate Units,AEPPZ
AER - AerCap Holdings N.V. Ordinary Shares,AER
AES - The AES Corporation Common Stock,AES
AESC - The AES Corporation Corporate Units,AESC
AESI - Atlas Energy Solutions Inc. Class A Common Stock,AESI
AEVA - Aeva Technologies Inc. Common Stock,AEVA
AEY - ADDvantage Technologies Group Inc. Common Stock,AEY
AEYE - AudioEye Inc. Common Stock,AEYE
AEZS - Aeterna Zentaris Inc. Common Stock,AEZS
AFAR - Aura FAT Projects Acquisition Corp Class A Ordinary Shares,AFAR
AFB - AllianceBernstein National Municipal Income Fund Inc,AFB
AFBI - Affinity Bancshares Inc. Common Stock (MD),AFBI
AFCG - AFC Gamma Inc. Common Stock,AFCG
AFG - American Financial Group Inc. Common Stock,AFG
AFGB - American Financial Group Inc. 5.875% Subordinated Debentures due 2059,AFGB
AFGC - American Financial Group Inc. 5.125% Subordinated Debentures due 2059,AFGC
AFGD - American Financial Group Inc. 5.625% Subordinated Debentures due 2060,AFGD
AFGE - American Financial Group Inc. 4.500% Subordinated Debentures due 2060,AFGE
AFIB - Acutus Medical Inc. Common Stock,AFIB
AFL - AFLAC Incorporated Common Stock,AFL
AFMD - Affimed N.V.,AFMD
AFRI - Forafric Global PLC Ordinary Shares,AFRI
AFRIW - Forafric Global PLC Warrants,AFRIW
AFRM - Affirm Holdings Inc. Class A Common Stock,AFRM
AFT - Apollo Senior Floating Rate Fund Inc. Common Stock,AFT
AFTR - AfterNext HealthTech Acquisition Corp. Class A Ordinary Shares,AFTR
AFYA - Afya Limited Class A Common Shares,AFYA
AG - First Majestic Silver Corp. Ordinary Shares (Canada),AG
AGAC - African Gold Acquisition Corporation Class A Ordinary Shares,AGAC
AGAE - Allied Gaming & Entertainment Inc. Common Stock,AGAE
AGBA - AGBA Group Holding Limited Ordinary Share,AGBA
AGBAW - AGBA Group Holding Limited Warrant,AGBAW
AGCO - AGCO Corporation Common Stock,AGCO
AGD - abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,AGD
AGE - AgeX Therapeutics Inc. Common Stock,AGE
AGEN - Agenus Inc. Common Stock,AGEN
AGFY - Agrify Corporation Common Stock,AGFY
AGI - Alamos Gold Inc. Class A Common Shares,AGI
AGIL - AgileThought Inc. Class A Common Stock,AGIL
AGILW - AgileThought Inc. Warrant,AGILW
AGIO - Agios Pharmaceuticals Inc. Common Stock,AGIO
AGL - agilon health inc. Common Stock,AGL
AGLE - Aeglea BioTherapeutics Inc. Common Stock,AGLE
AGM - Federal Agricultural Mortgage Corporation Common Stock,AGM
AGM^C - Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,AGM^C
AGM^D - Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,AGM^D
AGM^E - Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,AGM^E
AGM^F - Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,AGM^F
AGM^G - Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,AGM^G
AGMH - AGM Group Holdings Inc. Class A Ordinary Shares,AGMH
AGNC - AGNC Investment Corp. Common Stock,AGNC
AGNCL - AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,AGNCL
AGNCM - AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,AGNCM
AGNCN - AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,AGNCN
AGNCO - AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,AGNCO
AGNCP - AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,AGNCP
AGO - Assured Guaranty Ltd. Common Stock,AGO
AGR - Avangrid Inc. Common Stock,AGR
AGRI - AgriFORCE  Growing Systems Ltd. Common Shares,AGRI
AGRIW - AgriFORCE  Growing Systems Ltd. Warrant,AGRIW
AGRO - Adecoagro S.A. Common Shares,AGRO
AGRX - Agile Therapeutics Inc. Common Stock,AGRX
