,Low,Open,Volume,High,Close,Adjusted Close,Annual Percent Change,positive,negative,neutral,Label
SHLD,20.19926919357725,20.23091550022119,547.702750410509,20.25044306894437,20.219535262322385,20.168884629294983,0.0440281312388496,0.0678845643997192,0.0218693390488624,0.9102460145950316,0.0
SHOO,34.98680675730986,35.65554622041077,779623.243697479,36.33336136120708,35.62268915096251,35.62268915096251,-0.1378528384405726,0.2143847757639984,0.1770856865836928,0.6085295289444427,0.0
SHPG,175.43200073242187,176.0760009765625,1642402.8,177.31799926757813,176.48999633789063,176.48999633789063,0.0899786636770765,0.2876313328742981,0.1597965601831674,0.5525721162557602,0.0
SID,3.6129899185244776,3.69878152037869,5651606.1302521005,3.777100839534728,3.696008411776118,3.695426756594361,-0.4486214740934825,0.3752048355915273,0.2491908812662586,0.3756042829947545,0.0
SIEB,1.770924363316608,1.8165126052223333,25170.89075630252,1.861832354749952,1.8118743641035897,1.8118743641035897,-0.5395815842251022,0.1829460858736032,0.1582515433081425,0.658802366637004,0.0
SIEN,1.3099256268068522,1.3805533586179508,1106631.6638655462,1.436603781493271,1.3609848755623113,1.3609848755623113,-0.7834707934948613,0.2780634680496795,0.3125612530591232,0.4093752810997622,0.0
SIFI,46.64643821651926,46.66988984377575,697.2151898734177,46.67725213513596,46.65235632079563,46.65235632079563,-0.0528481353246485,0.949617326259613,0.027206634171307,0.0231760283932089,0.0
SIFY,2.259873950180887,2.3137815058732234,87806.70168067227,2.367857136646238,2.303991590728279,2.303991590728279,-0.3025587622543522,0.2284392912956801,0.1918254678673816,0.5797352472969303,0.0
SIG,65.28991588624585,67.23504210720543,1087571.06302521,68.9963024684361,67.14634449742421,67.13225095412311,-0.0342647682923079,0.2955610797352467,0.2177856881947567,0.486653232978036,0.0
SIGI,82.42512573113963,83.45802521905979,284769.46638655465,84.60699591115743,83.57008419517709,83.57008419517709,0.0918179349189007,0.2878846885128455,0.3217632506635379,0.3903520661321554,0.0
SILC,38.74368811855797,39.40621845662093,16410.13025210084,40.06445383023815,39.37037815767176,39.37037815767176,-0.1120774965360649,0.4696502675386992,0.1805545300414616,0.3497952026061036,0.0
SIMO,74.87781503821621,76.22781508309501,522135.2605042017,77.45441170700458,76.04436967352859,76.04436967352859,0.1303704256319289,0.398872835917229,0.1426493701440366,0.458477792922746,0.0
SIRI,6.185651256256745,6.248193276028673,17748750.2605042,6.323193271620935,6.252352938932531,6.252352938932531,0.003894883063527,0.2206552313795934,0.1325406739100193,0.6468040868329505,0.0
SIVB,433.2639917966698,444.0013442480264,683258.037815126,453.4175202826492,442.7613245859868,442.7613245859868,-0.2417272546854608,0.3366889130789787,0.2626457621343434,0.4006653157062829,0.0
SIX,29.15424363753375,29.88705885109781,2463065.9831932774,30.59214285842511,29.812689067936745,29.812689067936745,-0.2984286675485783,0.3253295771100304,0.1891694482923908,0.4855009805919094,0.0
SIXD,0.0657330950593498,0.0845291270139741,3131.873015873016,0.0927465875046191,0.0751313096448967,0.0751313096448967,3.185634373834273,0.1196659964509308,0.1636836631223559,0.7166503146290779,0.0
SJI,32.598991522268086,32.81588241833599,1122514.525210084,33.01424360675972,32.82058822407442,32.82058822407442,0.3417477765337897,0.4292961837131191,0.2376197912476279,0.3330840259451758,0.0
SJR,27.758403361344534,27.943739514390963,415079.65546218486,28.17827735227697,27.96542010587805,27.94993246703589,0.0444771610348226,0.3302475047375385,0.1786599380895495,0.4910925580188632,0.0
SJT,9.79873949139058,10.091890771849815,804205.1470588235,10.350378138678414,10.080630252341262,10.060139053008136,1.0199575524535902,0.1879539428961773,0.23936776407063,0.5726782983758797,0.0
SKM,23.19361345307166,23.36852943196016,426074.3697478992,23.552647093764875,23.36894961765834,23.36894961765834,-0.5001589272709583,0.2712075047246697,0.3854176657843506,0.3433748338474995,0.0
SKT,16.47756300052675,16.77605042738073,898728.3781512605,17.073613471343737,16.786533592127952,16.770723330874404,-0.0239464176337174,0.2964911723819872,0.2350679986178875,0.4684408291243017,0.0
SKX,38.340084051885526,39.03084040088814,1519288.3697478992,39.76193282183479,39.0735503845856,39.0735503845856,-0.129180875947421,0.2128684241169443,0.2953236975396673,0.4918078795385858,0.0
SKYS,3.206258476086152,3.346538972243285,204190.48205128204,3.5542646175775774,3.3754035961933626,3.3754035961933626,1.2050270687045486,0.1631581932306289,0.0090980753302574,0.8277437090873718,0.0
SKYW,24.299411749639432,24.86382353005289,566934.974789916,25.37995796043332,24.790210098779504,24.790210098779504,-0.4687428133744031,0.2402904319576918,0.2840475384301195,0.4756620435044168,0.0
SLB,40.30373953170135,41.10415965168416,14357523.592436977,41.9783454382119,41.17760546067182,41.1655240980517,0.403947244696017,0.2391349395737051,0.3600452885124833,0.4008197716996074,0.0
SLCA,13.396134416596228,13.816680671788063,1142933.62605042,14.21413445673069,13.810630241361986,13.810630241361986,0.3194369397739054,0.3176177688977785,0.2525067322577039,0.4298754951192273,0.0
SLF,48.1180250664719,48.58092444283621,804591.3697478991,49.01861343063226,48.56363448776117,48.4491285596575,-0.0689692664637779,0.2588608424433253,0.2295549858869477,0.5115841679952362,0.0
SLGN,44.14407568218327,44.649075612300585,479318.41596638656,45.19588249270655,44.67452956448082,44.67452956448082,0.0928339052578357,0.1942230741408738,0.3120515845715999,0.4937253400006077,0.0
SLM,16.755210123142273,17.02600843365453,2414005.588235294,17.329327743594387,17.04084031722125,17.04084031722125,-0.0541478453936676,0.2388119078551729,0.3040436019810537,0.4571444925541679,0.0
SLP,47.238865555835375,48.25781512861492,122158.39075630251,49.30079830394072,48.25239497272908,48.25239497272908,-0.133185566020129,0.3333402100498929,0.1743800953820799,0.4922796838098403,0.0
SLRC,15.638403347560338,15.83180675186029,250212.4537815126,15.97962187117889,15.791449606919487,15.791449606919487,-0.1614894448378064,0.295613278973509,0.2774137418717146,0.4269729814068837,0.0
SM,38.47525211141891,39.641092444668296,2127009.8151260503,40.75432782213227,39.65600841586329,39.65600841586329,0.8886418831478862,0.3747714338824153,0.2259673176022867,0.3992612516973168,0.0
SMBC,49.614327663133125,50.21978982556768,25482.289915966387,50.83142865605715,50.17680687463584,50.15208087247961,0.1389644319934417,0.2159091105684638,0.3567903569123397,0.4273005382690046,0.0
SMG,90.26138629432486,92.37705873441296,658458.819327731,94.26705862093372,92.11168080818751,92.0034101470178,-0.5174142375610664,0.2891467572500308,0.1876445950215889,0.5232086525039954,0.0
SMI,47.99022018542989,48.004220807112326,10749.474789915968,48.01233658771821,47.99819107347823,47.99819107347823,-0.037886644749559,0.110923770442605,0.4795798905193805,0.4094963517040014,0.0
SMIT,3.6424041986465454,3.74386554280249,21191.873949579836,3.8459243659211806,3.733034441951944,3.733034441951944,-0.3126723885659818,0.1821968907490372,0.265546451912572,0.55225666385144,0.0
SMLR,43.19131503385656,44.39198748003535,57058.096638655465,45.54756298385748,44.27651253067145,44.27651253067145,-0.5939013743776406,0.319489132258154,0.2620382783934474,0.418472595512867,0.0
SMMF,27.25151258356431,27.53243696389078,17716.899159663866,27.83331516810826,27.51598734815581,27.51598734815581,0.1225796918987955,0.2203779447078704,0.2506010401481762,0.5290210252534597,0.0
SMP,40.9691386182769,41.54789918210326,110483.0462184874,42.11302510429831,41.50539933533228,41.47108422607935,-0.0796810344022654,0.3005247251751522,0.2864392834094663,0.413035988388583,0.0
SMRT,8.039609269735193,8.316240658902544,1034492.8622782448,8.603828112195298,8.28945376424451,8.28945376424451,-0.2972061218699972,0.224540395848453,0.3118701487779617,0.4635894645005464,0.0
SMSI,2.863340331225836,2.9447058849975845,349525.28571428574,3.021008410373656,2.931596639777432,2.931596639777432,-0.4772525686079789,0.2545695411041379,0.3126134392805397,0.4328170153227719,0.0
SNCR,1.408492011432888,1.4573949550380223,333296.4495798319,1.5039445354658014,1.4484453762278835,1.4484453762278835,-0.5512065093603908,0.2664614760937789,0.1916133200128873,0.541925214510411,0.0
SNFCA,7.939989989545165,8.064445754059223,16866.243697478993,8.176165127954564,8.069956663275967,8.069956663275967,-0.0160148667162171,0.2518648707928757,0.1814337428969641,0.5667013895697892,0.0
SNI,87.468586963156,88.00499990712042,1470193.0652173914,88.5458695784859,88.006521805473,87.76126082047172,0.1262401377707245,0.1483866088092327,0.2401636138558388,0.6114497810602189,0.0
SNOW,241.71154608837216,249.1399567741729,5022853.439309057,256.8799676714083,248.98477482434487,248.98477482434487,-0.108042309151004,0.142677154392004,0.2007848314940929,0.6565380215644836,0.0
SNPS,310.7835292655881,316.077521700819,1001568.613445378,321.25231036017925,316.06697467194886,316.06697467194886,0.0987406944145683,0.2708353278692811,0.1817817595088854,0.5473829118379703,0.0
SNV,42.46525208288882,43.17243689849597,1009915.7478991596,43.805378200627175,43.13357136830562,43.13357136830562,-0.0338973129099403,0.3532874271040782,0.1962380914172778,0.4504744766590496,0.0
SODA,106.7346623948783,107.43491710316052,343174.152892562,108.34459188161804,107.6247311111324,107.6247311111324,0.9297527216714798,0.3113943159580231,0.0236334523186087,0.6649722218513489,0.0
SOFO,1.9347899102864143,2.003025202190175,23794.26050420168,2.0810504187555874,2.012647055026864,2.012647055026864,-0.5013792463574545,0.1954993224279447,0.3410808351342425,0.4634198351114085,0.0
SOHO,2.035168478969766,2.0863445326059806,62975.617647058825,2.141134461935829,2.0837819290762187,2.0837819290762187,-0.2748860146566877,0.3053294740384444,0.2210554650402628,0.4736150490120053,0.0
